partyId,contactMechId,fromDate,contactMechPurposeTypeId
PRT0247,EM0082,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0249,EM0083,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0250,EM0084,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0251,EM0085,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0252,EM0086,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0254,EM0087,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0256,EM0088,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0258,EM0089,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0259,EM0090,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0265,EM0091,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0266,EM0092,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0267,EM0093,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0268,EM0094,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0269,EM0095,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0270,EM0096,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0271,EM0097,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0272,EM0098,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0273,EM0099,2019-04-17 00:00:00.000,PRIMARY_EMAIL
PRT0275,EM0100,2019-04-17 00:00:00.000,PRIMARY_EMAIL
