productId|productTypeId|isVirtual|isVariant|internalName|productName|brandName|productGroup(category)|quantityIncluded|MainUnit(quantityUomId)|altQuantityIncluded|AltUnit(altQuantityUomId)|ConversionFactor
PB0292|FINDIG_GOOD|N|N|MS Flat 65X12mm|MS Flat 65X12mm||consumable_items|1|UQC_ton|||
PB0293|FINDIG_GOOD|N|N|MS Flat 125X20mm|MS Flat 125X20mm||consumable_items|1|UQC_ton|||
PB0294|FINDIG_GOOD|N|N|MS Flat 150X12mm|MS Flat 150X12mm||consumable_items|1|UQC_ton|||
PB0295|FINDIG_GOOD|N|N|MS Flat 65X35mm|MS Flat 65X35mm||consumable_items|1|UQC_ton|||
PB0296|FINDIG_GOOD|N|N|MS Pipe Dia 300mm, 8 Mm Thick|MS Pipe Dia 300mm, 8 Mm Thick||consumable_items|1|UQC_ton|||
PB0297|FINDIG_GOOD|N|N|MS Pipe Dia 200mm, 8 Mm Thick|MS Pipe Dia 200mm, 8 Mm Thick||consumable_items|1|UQC_ton|||
PB0298|FINDIG_GOOD|N|N|Round Bar Dia 100mm X 125 Mm Long (60 No|Round Bar Dia 100mm X 125 Mm Long (60 No||consumable_items|1|UQC_ton|||
PB0299|FINDIG_GOOD|N|N|10mm Thick MS Plate Size-1500X5000 mm|10mm Thick MS Plate Size-1500X5000 mm||consumable_items|1|UQC_ton|||
PB0300|FINDIG_GOOD|N|N|Leaflet for Patanjali Neem Gold 1500ppm|Leaflet for Patanjali Neem Gold 1500ppm||packing_material|1|UQC_pcs|||
PB0301|FINDIG_GOOD|N|N|Iso-Propyle Alcohal|Iso-Propyle Alcohal||consumable_items|1|UQC_klr|||
PB0302|FINDIG_GOOD|N|N|Glacial Acetic Acid|Glacial Acetic Acid||lab_chemicals|1|UQC_klr|||
PB0303|FINDIG_GOOD|N|N|Dextrose Anh.|Dextrose Anh.||lab_chemicals|1|UQC_kgs|||
PB0304|FINDIG_GOOD|N|N|Potassium Permanganate|Potassium Permanganate||lab_chemicals|1|UQC_kgs|||
PB0305|FINDIG_GOOD|N|N|Potato Dextrose Agar Media, MH096|Potato Dextrose Agar Media, MH096||lab_chemicals|1|UQC_kgs|||
PB0306|FINDIG_GOOD|N|N|Ammonium Hydroxide AR|Ammonium Hydroxide AR||lab_chemicals|1|UQC_kgs|||
PB0307|FINDIG_GOOD|N|N|Ammonium Chloride AR|Ammonium Chloride AR||lab_chemicals|1|UQC_gms|||
PB0308|FINDIG_GOOD|N|N|Sodium Cyanide AR|Sodium Cyanide AR||lab_chemicals|1|UQC_gms|||
PB0309|FINDIG_GOOD|N|N|Hydroxylamine Hydrochloride AR Solid Sal|Hydroxylamine Hydrochloride AR Solid Sal||lab_chemicals|1|UQC_gms|||
PB0310|FINDIG_GOOD|N|N|Eriochrome Black (T) Indicator|Eriochrome Black (T) Indicator||lab_chemicals|1|UQC_gms|||
PB0311|FINDIG_GOOD|N|N|Nutrient Agar Media, M001|Nutrient Agar Media, M001||lab_chemicals|1|UQC_gms|||
PB0312|FINDIG_GOOD|N|N|Pseudomonas Agar Media, M120|Pseudomonas Agar Media, M120||lab_chemicals|1|UQC_gms|||
PB0313|FINDIG_GOOD|N|N|Azotobacter (Manitol) M372|Azotobacter (Manitol) M372||lab_chemicals|1|UQC_gms|||
PB0314|FINDIG_GOOD|N|N|Pikovaskya's Agar MediaM520|Pikovaskya's Agar MediaM520||lab_chemicals|1|UQC_gms|||
PB0315|FINDIG_GOOD|N|N|Yeast Extract|Yeast Extract||consumable_items|1|UQC_gms|||
PB0316|FINDIG_GOOD|N|N|Peptone Water (m028)|Peptone Water (m028)||lab_chemicals|1|UQC_gms|||
PB0317|FINDIG_GOOD|N|N|Agar for tissue culture|Agar for tissue culture||lab_chemicals|1|UQC_kgs|||
PB0318|FINDIG_GOOD|N|N|Gooch Crucible G 4, Capacity: 30 Ml|Gooch Crucible G 4, Capacity: 30 Ml||consumable_items|1|UQC_pcs|||
PB0319|FINDIG_GOOD|N|N|1 Litre Glass Beaker|1 Litre Glass Beaker||consumable_items|1|UQC_pcs|||
PB0320|FINDIG_GOOD|N|N|Glass Petri Dish, 100 Mm|Glass Petri Dish, 100 Mm||consumable_items|1|UQC_pcs|||
PB0321|FINDIG_GOOD|N|N|Test Tube for Tissue Culture, Size: 25x1|Test Tube for Tissue Culture, Size: 25x1||consumable_items|1|UQC_pcs|||
PB0322|FINDIG_GOOD|N|N|U Connector (Kjeldal Distillation)|U Connector (Kjeldal Distillation)||consumable_items|1|UQC_pcs|||
PB0323|FINDIG_GOOD|N|N|Kjeldahl Trap Adapter Joint|Kjeldahl Trap Adapter Joint||consumable_items|1|UQC_pcs|||
PB0324|FINDIG_GOOD|N|N|Condencer Connector Funnel|Condencer Connector Funnel||consumable_items|1|UQC_pcs|||
PB0325|FINDIG_GOOD|N|N|Distillation Funnel|Distillation Funnel||consumable_items|1|UQC_pcs|||
PB0326|FINDIG_GOOD|N|N|Distillation Cooling Pipe|Distillation Cooling Pipe||consumable_items|1|UQC_mtr|||
PB0327|FINDIG_GOOD|N|N|Tissue Paper|Tissue Paper||consumable_items|1|UQC_pcs|||
PB0328|FINDIG_GOOD|N|N|12 V 18 AH Battery Make : Rocket|12 V 18 AH Battery Make : Rocket||consumable_items|1|UQC_pcs|||
PB0329|FINDIG_GOOD|N|N|MS Sheet (1250X6000X10mm)|MS Sheet (1250X6000X10mm)||consumable_items|1|UQC_ton|||
PB0330|FINDIG_GOOD|N|N|MS Sheet (1250X6000X5mm)|MS Sheet (1250X6000X5mm)||consumable_items|1|UQC_ton|||
PB0331|FINDIG_GOOD|N|N|MS Flat (70X10mm)|MS Flat (70X10mm)||consumable_items|1|UQC_ton|||
PB0332|FINDIG_GOOD|N|N|MS T (75X5mm)|MS T (75X5mm)||consumable_items|1|UQC_pcs|||
PB0333|FINDIG_GOOD|N|N|MS Angle (50x5mm)|MS Angle (50x5mm)||consumable_items|1|UQC_ton|||
PB0334|FINDIG_GOOD|N|N|MS Channel (100X50X5mm)|MS Channel (100X50X5mm)||consumable_items|1|UQC_ton|||
PB0335|FINDIG_GOOD|N|N|MS Sheet (1250X2500X3mm)|MS Sheet (1250X2500X3mm)||consumable_items|1|UQC_ton|||
PB0336|FINDIG_GOOD|N|N|ISMC 400X10mm|ISMC 400X10mm||consumable_items|1|UQC_ton|||
PB0337|FINDIG_GOOD|N|N|ISMB 500X180 Mm|ISMB 500X180 Mm||consumable_items|1|UQC_ton|||
PB0338|FINDIG_GOOD|N|N|ISMB 450X150 mm|ISMB 450X150 mm||consumable_items|1|UQC_ton|||
PB0339|FINDIG_GOOD|N|N|ISA 40X40X5mm|ISA 40X40X5mm||consumable_items|1|UQC_ton|||
PB0340|FINDIG_GOOD|N|N|20mm Thick MS Plate Size-1500X1000 mm|20mm Thick MS Plate Size-1500X1000 mm||consumable_items|1|UQC_ton|||
PB0341|FINDIG_GOOD|N|N|12mm Thick MS Plate Size-1250X2500mm|12mm Thick MS Plate Size-1250X2500mm||consumable_items|1|UQC_ton|||
PB0342|FINDIG_GOOD|N|N|5mm Thick MS Chequred Size-1500X6300mm|5mm Thick MS Chequred Size-1500X6300mm||consumable_items|1|UQC_ton|||
PB0343|FINDIG_GOOD|N|N|MS Box 200X100X6mm Thick|MS Box 200X100X6mm Thick||consumable_items|1|UQC_ton|||
PB0344|FINDIG_GOOD|N|N|Plastic Cap for Hdpe Bottle 1 Ltr.|Plastic Cap for Hdpe Bottle 1 Ltr.||packing_material|1|UQC_pcs|||
PB0345|FINDIG_GOOD|N|N|Fire Wood|Fire Wood||consumable_items|1|UQC_kgs|||
PB0346|FINDIG_GOOD|N|N|CARBOXY METHYL CELLULOSE (CMC) comercial|CARBOXY METHYL CELLULOSE (CMC) comercial||raw_material|1|UQC_kgs|||
PB0347|FINDIG_GOOD|N|N|DANFOSS AC DRIVE FOR 15KW /20HP ,I/P 440|DANFOSS AC DRIVE FOR 15KW /20HP ,I/P 440||consumable_items|1|UQC_pcs|||
PB0348|FINDIG_GOOD|N|N|MS Square Pipe 75X75X3 Mm|MS Square Pipe 75X75X3 Mm||consumable_items|1|UQC_ton|||
PB0349|FINDIG_GOOD|N|N|Ridge GI 1M X 1M|Ridge GI 1M X 1M||consumable_items|1|UQC_mtr|||
PB0350|FINDIG_GOOD|N|N|GI Colour Coated Sheet 20' X 1 Mtr Thick|GI Colour Coated Sheet 20' X 1 Mtr Thick||consumable_items|1|UQC_pcs|||
PB0351|FINDIG_GOOD|N|N|GI Colour Coated Sheet 16' X 1 Mtr Thick|GI Colour Coated Sheet 16' X 1 Mtr Thick||consumable_items|1|UQC_pcs|||
PB0352|FINDIG_GOOD|N|N|Self Drilling Screw 12mmX55mm Hex Head|Self Drilling Screw 12mmX55mm Hex Head||consumable_items|1|UQC_pcs|||
PB0353|FINDIG_GOOD|N|N|Self Drilling Screw 12mmX25mm Hex Head|Self Drilling Screw 12mmX25mm Hex Head||consumable_items|1|UQC_pcs|||
PB0354|FINDIG_GOOD|N|N|ISMC 150X75X5mm|ISMC 150X75X5mm||consumable_items|1|UQC_ton|||
PB0355|FINDIG_GOOD|N|N|ISMC 200X75X8mm|ISMC 200X75X8mm||consumable_items|1|UQC_ton|||
PB0356|FINDIG_GOOD|N|N|Dell Latitude 3480 Laptop / Intel Core|Dell Latitude 3480 Laptop / Intel Core||assets|1|UQC_pcs|||
PB0357|FINDIG_GOOD|N|N|URS for MCC Panel ( Granulator Plant )|URS for MCC Panel ( Granulator Plant )||assets|1|UQC_pcs|||
PB0358|FINDIG_GOOD|N|N|URS for Remote Panel-1|URS for Remote Panel-1||assets|1|UQC_pcs|||
PB0359|FINDIG_GOOD|N|N|URS for Remote Panel-2|URS for Remote Panel-2||assets|1|UQC_pcs|||
PB0360|FINDIG_GOOD|N|N|FRP SQUARE TYPE COOLING TOWER OF 250 TR|FRP SQUARE TYPE COOLING TOWER OF 250 TR||assets|1|UQC_pcs|||
PB0361|FINDIG_GOOD|N|N|Two stage Oil free screw air compressor|Two stage Oil free screw air compressor||assets|1|UQC_pcs|||
PB0362|FINDIG_GOOD|N|N|Refrigerant Type Air Dryer, Model: Fx 17|Refrigerant Type Air Dryer, Model: Fx 17||assets|1|UQC_pcs|||
PB0363|FINDIG_GOOD|N|N|Line Filters for purification upto 0.01|Line Filters for purification upto 0.01||assets|1|UQC_pcs|||
PB0364|FINDIG_GOOD|N|N|Vertical Air Receiver of 5m3  10 Bar.g|Vertical Air Receiver of 5m3  10 Bar.g||assets|1|UQC_pcs|||
PB0365|FINDIG_GOOD|N|N|Bolero P+ ZLX|Bolero P+ ZLX||assets|1|UQC_pcs|||
PB0366|FINDIG_GOOD|N|N|Safety Shoes Size: 6 No.|Safety Shoes Size: 6 No.||consumable_items|1|UQC_pcs|||
PB0367|FINDIG_GOOD|N|N|Safety Shoes Size: 7 No.|Safety Shoes Size: 7 No.||consumable_items|1|UQC_pcs|||
PB0368|FINDIG_GOOD|N|N|Safety Shoes Size: 8 No.|Safety Shoes Size: 8 No.||consumable_items|1|UQC_pcs|||
PB0369|FINDIG_GOOD|N|N|Safety Shoes Size: 9 No.|Safety Shoes Size: 9 No.||consumable_items|1|UQC_pcs|||
PB0370|FINDIG_GOOD|N|N|Safety Shoes Size: 10 No.|Safety Shoes Size: 10 No.||consumable_items|1|UQC_pcs|||
PB0371|FINDIG_GOOD|N|N|Whey Storage Tank 50KL With EC &Agitator|Whey Storage Tank 50KL With EC &Agitator||assets|1|UQC_pcs|||
PB0372|FINDIG_GOOD|N|N|Padestel Bracket SN 518|Padestel Bracket SN 518||consumable_items|1|UQC_pcs|||
PB0373|FINDIG_GOOD|N|N|Padestel Bracket SN 517|Padestel Bracket SN 517||consumable_items|1|UQC_pcs|||
PB0374|FINDIG_GOOD|N|N|Padestel Bracket SN 515|Padestel Bracket SN 515||consumable_items|1|UQC_pcs|||
PB0375|FINDIG_GOOD|N|N|MS Sleev H318|MS Sleev H318||consumable_items|1|UQC_pcs|||
